|                                   col0_1 |                                    col0_2 |         aperture_sum_3 |       aperture_sum_4 |       aperture_sum_5 |
|   2991.157654006053 .. 551.9051718171337 |  279.10253716604416 .. -23.93018212763093 |     1.9123424520131473 |  -3.5042268189700083 |   -5.416569270983156 |
|  3332.7300517705257 .. 553.1784738052219 |   279.0984244448966 .. -23.93016808077052 |      -2.07147000333774 |   -6.783161457302761 |    -4.71169145396502 |
|   3181.900963106998 .. 554.3904151840518 | 279.10024051090727 .. -23.930154770958143 |    -0.5947202117619289 |   -6.092633731433667 |   -5.497913519671738 |
|     2760.85354839715 .. 556.244414957682 |  279.1053101541514 .. -23.930134332647043 |     -0.626527614966919 |   -6.109543441529956 |   -5.483015826563037 |
|  3102.6446416961576 .. 555.7437477118544 |  279.1011948009271 .. -23.930139883087925 |    0.10855121131029735 |   -5.853294287555029 |   -5.961845498865326 |
|   2591.905280713964 .. 560.3098795037323 | 279.10734438248807 .. -23.930089529555453 |     2.3903821235945526 |                  inf |                  inf |
|    2811.97778991066 .. 560.2850685374015 |  279.10469458908176 .. -23.93008987602017 |     -2.143836389647463 |   -7.064654941903829 |   -4.920818552256366 |
|   3000.099423755807 .. 560.6712835533281 | 279.10242950165076 .. -23.930085652240138 |    -2.8556434818974723 |   -8.964999112160918 |   -6.109355630263446 |
|  3051.8149708565106 .. 560.8404341669462 |  279.1018068181847 .. -23.930083792174365 |     1.8271218489286567 |  -2.4936444684764054 |   -4.320766317405062 |
|  3081.7493199913324 .. 561.3267455818318 |  279.1014463922703 .. -23.930078439787508 |   -0.09334111248504266 |   -6.145909904076098 |   -6.052568791591056 |
|  3374.7194728770573 .. 561.2108587238563 |  279.09791887159844 .. -23.93007966826187 |    0.16649567588355468 |   -5.906777473107939 |   -6.073273148991494 |
